strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
GCF_900516355.1	Klebsiella pneumoniae	strong	139	196706	468386	5740720	no	-	ST163	0	1	2	3	-	0	-	0	-	0	-	0	-	0	-	wzi84	KL28	none	Very high	99.19%		O1v2	none	Very high	99.47%		strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	CMY-30	-	-	SHV-36	35Q	-	-	-	-	-	ST163	2	1	1	1	9	1	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501915.1	Klebsiella pneumoniae	strong	98	307106	1144701	5489787	no	-	ST11	0	1	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi243	KL13	none	Very high	99.03%		O3b	none	Very high	99.06%		aac(6')-Ib-cr.v2^;aph3-Ia.v1^	-	-	qnrB4	-	mphA	catB3.v2	arr-3	sul1;sul1	-	-	-	DHA-1;OXA-1	-	CTX-M-1	-	-	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900502235.1	Klebsiella pneumoniae	strong	97	285773	984785	5494293	no	-	ST11	0	1	8	11	-	0	-	0	-	0	-	0	-	0	-	wzi243	KL13	none	Very high	99.03%		O3b	none	Very high	99.07%		aac(6')-Ib-cr.v2^;aph3-Ia.v1^	-	-	qnrB4	-	mphA	catB3.v2	arr-3	sul1;sul1	-	-	-	DHA-1;OXA-1	-	CTX-M-1	-	-	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900514765.1	Klebsiella pneumoniae	strong	135	246933	544057	5729805	no	-	ST512	0	2	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	none	Very high	100.00%		O2v2	none	Very high	98.37%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	qnrB19^	-	mphA*	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	CTX-M-1	-	KPC-3	SHV-11.v1	35Q	OmpK35-25%;OmpK36GD	-	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900517495.1	Klebsiella pneumoniae	strong	931	207266	457008	5969661	no	-	ST792	2	1	1	1	ybt 17; ICEKp10	281	clb 3	15	-	0	-	0	-	0	-	wzi25	KL25	none	Perfect	100.00%		O3/O3a	none	Very high	98.57%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-10?	-	-	SHV-1*	-	-	-	-	-	-	ST792	2	7	1	26	1	4	4	6	15	5	4	11	78	26	2	11	4	2	2	10	2	2	2	2	2	3	2	2	2	2	6	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900502605.1	Klebsiella pneumoniae	strong	60	374991	592495	5316256	no	-	ST290	0	1	5	5	-	0	-	0	-	0	-	0	-	0	-	wzi21	KL21	*	Very high	98.57%		O1v1	none	Very high	98.11%		aac(3)-IId^	-	-	qnrS1	-	-	-	-	-	tet(A).v1	-	-	LAP-2	-	CTX-M-14	-	-	SHV-1	-	-	-	-	-	-	ST290	2	1	1	37	10	1	86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900508765.1	Klebsiella pneumoniae	strong	100	272044	993774	5656530	no	-	ST107	1	3	10	17	ybt 16; ICEKp12	277-5LV	-	0	-	0	-	0	-	0	-	wzi235	KL10	*	Very high	96.69%		O1v1	none	Very high	98.41%		aac(3)-IId^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrS1	-	-	CatB4.v1?;catII.2*	-	sul1;sul2	tet(A).v1;tet(D)	-	dfrA1.v1	LAP-2;OXA-1;TEM-1D.v1^	-	CTX-M-14	-	OXA-162	SHV-11.v1^	35Q	-	MgrB-83%	-	-	-	ST107	2	1	2	17	27	1	39	6	15*	5	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900509025.1	Klebsiella pneumoniae	strong	64	369859	993774	5645437	no	-	ST107	1	2	8	13	ybt 16; ICEKp12	277-5LV	-	0	-	0	-	0	-	0	-	wzi235	KL10	*	Very high	96.71%		O1v1	none	Very high	98.41%		aac(3)-IId^;strA.v1^;strB.v1	-	-	qnrS1	-	-	-	-	sul1;sul2	tet(A).v1;tet(D)	-	dfrA1.v1	LAP-2;TEM-1D.v1^	-	CTX-M-14	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST107	2	1	2	17	27	1	39	6	15*	5	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900509045.1	Klebsiella pneumoniae	strong	525	350453	993730	5942248	no	-	ST107	1	2	8	13	ybt 16; ICEKp12	277-5LV	-	0	-	0	-	0	-	0	-	wzi235	KL10	*	Very high	96.70%		O1v1	none	Very high	98.41%		aac(3)-IId^;strA.v1^;strB.v1	-	-	qnrS1	-	-	-	-	sul1;sul2	tet(A).v1;tet(D)	-	dfrA1.v1	LAP-2;TEM-1D.v1^	-	CTX-M-14	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST107	2	1	2	17	27	1	39	6	15*	5	4*	11	245*	23*	2	11	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900512655.1	Klebsiella pneumoniae	strong	49	372573	1411593	5498743	no	-	ST36	0	2	8	9	-	0	-	0	-	0	-	0	-	0	-	wzi27	KL27	none	Perfect	100.00%		O2v2	none	Very high	98.44%		aac(3)-IId^;aac(6')-Ib'.v1	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2	-	CTX-M-14	-	KPC-2	SHV-11.v1^	35Q	-	-	-	-	-	ST36	2	1	2	1	7	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900516065.1	Klebsiella pneumoniae	strong	61	463419	1186290	5701276	no	-	ST405	1	1	1	1	ybt 14; ICEKp5?	131-5LV	-	0	-	0	-	0	-	0	-	wzi143	KL151	none	Very high	99.24%		O4	none	Very high	99.70%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-14	-	-	SHV-76	35Q	-	-	-	-	-	ST405	2	1	62	3	10	4	110	4	4	5*	4*	1	27	184*	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900516365.1	Klebsiella pneumoniae	strong	200	240635	772113	5858437	no	-	ST1961	0	2	6	7	-	0	-	0	-	0	-	0	-	0	-	wzi151	KL48	*	High	94.78%		O1v1	none	Very high	98.02%		aadA2^	-	-	qnrB2.v1^	-	-	-	-	sul1;sul1	-	-	dfrA12	-	-	CTX-M-14	-	KPC-2	SHV-28.v1^	-	OmpK35-37%;OmpK36-11%	-	GyrA-83F;GyrA-87A;ParC-80I	-	TEM-150*?-0%	ST1961	1	1	1	1	1	116	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900516455.1	Klebsiella pneumoniae	strong	97	214375	850677	5657472	no	-	ST11	0	1	9	15	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	none	Very high	100.00%		O2v1	none	Very high	98.64%		aac(3)-IId^;aadA^;aph3-Ia.v1^;strA.v1;strB.v1	-	-	qnrB2.v1^	-	mphA	cmlA1*	-	sul1;sul1;sul3	tet(A).v1*	-	dfrA25	TEM-1D.v1^	-	CTX-M-14	-	-	SHV-11.v1	35Q	OmpK35-52%	-	GyrA-83I;ParC-80I	-	aadA2?-0%;aadA3?-48%	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_902156285.1	Klebsiella pneumoniae	strong	8	5229245	5229245	5540108	no	-	ST36	0	2	8	9	-	0	-	0	-	0	-	0	-	0	-	wzi27	KL27	none	Perfect	100.00%		O2v2	none	Very high	98.44%		aac(3)-IId^;aac(6')-Ib'.v1	-	-	qnrS1	-	-	-	-	sul1	tet(A).v1	-	dfrA1.v1	LAP-2	-	CTX-M-14	-	KPC-2	SHV-11.v1^	35Q	-	-	-	-	-	ST36	2	1	2	1	7	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_902157005.1	Klebsiella pneumoniae	strong	13	5433120	5433120	5820605	no	-	ST258	1	2	9	18	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?	Good	99.99%		O2v2	none	Very high	98.47%		aac(3)-IId^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2*;aph3-Ia.v1^;rmtB;strA.v1^;strB.v1	-	-	-	-	mphA	catB3.v2	arr-3	sul1;sul2	-	-	-	OXA-1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-14;SHV-12	-	KPC-2	-	238S;240K;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_902156455.1	Klebsiella pneumoniae	strong	8	5427782	5427782	5828494	no	-	ST258	1	2	9	19	ybt 13; ICEKp2	299	-	0	-	0	-	0	-	0	-	wzi29	KL106	?-	Good	99.99%	KL106_15_rfbp	O2v2	none	Very high	98.47%		aac(3)-IId^;aac(6')-Ib'.v1;aac(6')-Ib3^;aph3-Ia.v1^;rmtB;strA.v1^;strB.v1	-	-	-	-	mphA	catB3.v2	arr-3	sul1;sul2	-	-	-	OXA-1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-14;SHV-12;SHV-12^	-	KPC-2	-	238S;238S;240K;240K;35Q;35Q	OmpK35-25%	-	GyrA-83I;ParC-80I	-	-	ST258	3	3	1	1	1	1	79	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507855.1	Klebsiella pneumoniae	strong	412	350634	771451	5771477	no	-	ST101	1	2	10	15	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.97%		O1v1	none	Very high	98.03%		aac(3)-IIa.v1^;aadA2;aadA^;aph(3')-VI*;strA.v1;strA.v1	-	-	-	-	mphA	cmlA1*;floR.v1*	-	sul3	tet(D)	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	OXA-1?-0%;aac(6')-Ib-cr.v2?-76%;aph(6)-Id.v1*?-43%;dfrA12?-0%;qnrS10?-0%;qnrS1?-57%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5*	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900507935.1	Klebsiella pneumoniae	strong	143	350655	771451	5638013	no	-	ST101	1	2	10	15	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.98%		O1v1	none	Very high	98.03%		aac(3)-IIa.v1^;aadA2;aadA^;aph(3')-VI*;strA.v1;strA.v1	-	-	-	-	mphA	cmlA1*;floR.v1*	-	sul3	tet(D)	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	aph(6)-Id.v1*?-43%;qnrS10?-0%;qnrS1?-57%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5*	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900511915.1	Klebsiella pneumoniae	strong	76	311271	557829	5628437	no	-	ST17	1	2	5	8	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.20%		ant(2'')-Ia;aph(3')-VI*;strA.v1;strA.v1;strB.v1	-	-	-	-	-	-	-	sul1	-	-	-	-	-	CTX-M-14^	-	OXA-48	-	-	OmpK35-27%	-	GyrA-83Y	SHV-129*?-81%	-	ST17	2	1	1	1	4	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900512665.1	Klebsiella pneumoniae	strong	146	291583	573378	5847912	no	-	ST1307	4	2	6	11	ybt 14; ICEKp5	140-2LV	-	0	iuc 1	63	-	0	rmp 1; KpVP-1	26-1LV	rmpA2_6-60%	wzi202	KL127	?	Good	99.95%		OL101	?*	Good	92.14%		aac(3)-IIa.v1;aph3-Ia.v1^;armA	-	-	-	-	mphA?;mphE.v2;msrE	-	-	sul1;sul2	-	-	dfrA5	-	-	CTX-M-14^	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	TEM-117*?-0%	ST1307	2	1	2	1	12	1	38	4	4	31	4	1	67	150*	2*	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1	1	-	-	-	-	27	2	2	-
GCF_900515675.1	Klebsiella pneumoniae	strong	243	219706	497336	5671108	no	-	ST35	0	2	3	7	-	0	-	0	-	0	-	0	-	0	-	wzi37	KL22	-+	Low	99.48%	KL22_17	O1v1	none	Very high	98.10%		aac(6')-Ib'.v1;aph(3')-VI*;strA.v1;strA.v1;strB.v1	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-14^	-	OXA-48	SHV-33	-	OmpK36-67%	-	-	-	-	ST35	2	1	2	1	10	1	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_902156085.1	Klebsiella pneumoniae	strong	11	5376581	5376581	5646286	no	-	ST101	1	2	10	13	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.98%		O1v1	none	Very high	98.03%		aadA2;aadA^;strA.v1;strA.v1	-	-	-	-	mphA	cmlA1*	-	sul3	tet(D)	-	dfrA14.v1^	TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-14^	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	aph(3')-VI*?-0%;aph(3')-VI*?-57%;qnrS10?-0%;qnrS1?-57%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5*	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500715.1	Klebsiella pneumoniae	strong	163	328952	468199	5684652	no	-	ST11	1	2	10	14	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi24	KL24	?	Good	99.99%		O2v1	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500735.1	Klebsiella pneumoniae	strong	227	324563	803491	5688444	no	-	ST11	1	2	10	13	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi24	KL24	?	Good	99.99%		O2v1	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500745.1	Klebsiella pneumoniae	strong	105	324564	497659	5648215	no	-	ST11	1	2	10	13	ybt 15; ICEKp11	230-1LV	-	0	-	0	-	0	-	0	-	wzi24	KL24	?	Good	99.99%		O2v1	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14*	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500755.1	Klebsiella pneumoniae	strong	64	368448	1357865	5483203	no	-	ST104	1	1	6	10	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi102	KL31	none	Very high	99.09%		O3b	none	Very high	99.79%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;aadA*	-	-	-	-	-	CatB4.v1	-	-	tet(D)	-	dfrA14.v1^	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-71	146V	-	-	-	-	-	ST104	2	3	1	1	2	1	43	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500765.1	Klebsiella pneumoniae	strong	105	203461	382002	5614057	no	-	ST11	1	2	9	12	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi50	KL15	?-	Good	99.88%	KL15_06_wzc	O4	?-	Good	99.66%	O4_06_glycosyltransferase	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	-	-	dfrA12;dfrA14.v1^	OXA-1	-	CTX-M-15	-	OXA-48	SHV-11.v1	35Q	-	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500805.1	Klebsiella pneumoniae	strong	117	224874	790185	5580730	no	-	ST307	0	1	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	-	High	99.27%	KL102_13	O2v2	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK36-48%	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500885.1	Klebsiella pneumoniae	strong	156	350656	722630	5647240	no	-	ST101	1	1	5	4	ybt 9; ICEKp3	183-3LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	?-+	Good	99.98%	KL17_03_wzi	O1v1	none	Very high	98.00%		strA.v1^	-	-	-	-	-	-	-	sul2	-	-	-	TEM-1D.v1^	-	CTX-M-15	-	-	SHV-1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	strB.v1?-0%	ST101	2	6	1	5	4	1	6	5	11*	6	5	1	25	37	9*	5*	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500895.1	Klebsiella pneumoniae	strong	94	306005	468199	5645017	no	-	ST11	1	2	10	13	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	0	-	wzi24	KL24	?	Good	99.99%		O2v1	none	Very high	98.52%		aac(3)-IIa.v1^;aac(6')-Ib'.v1;strA.v1^;strB.v1	-	-	-	-	mphA	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	SHV-11.v1	35Q	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500945.1	Klebsiella pneumoniae	strong	100	240607	727471	5578294	no	-	ST15	0	2	9	11	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL39	*	Very high	98.58%		O1v1	none	Very high	98.52%		aac(6')-Ib-cr.v2;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	-	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500965.1	Klebsiella pneumoniae	strong	82	328967	827505	5457428	no	-	ST437	0	1	9	12	-	0	-	0	-	0	-	0	-	0	-	wzi109	KL36	none	Very high	99.89%		O4	none	Very high	99.73%		aac(3)-IId^;aac(6')-Ib-cr.v2;aph3-Ia.v1^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(D)	-	dfrA30*	OXA-1;TEM-1D.v1^;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-11.v1	35Q	OmpK36GD	-	GyrA-83I;ParC-80I	-	-	ST437	3	3	1	1	1	1	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900500995.1	Klebsiella pneumoniae	strong	121	336548	1148821	5531104	no	-	ST307	0	1	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	none	Very high	98.45%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v1^	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501005.1	Klebsiella pneumoniae	strong	197	238746	650678	5634007	no	-	ST15	0	2	3	2	-	0	-	0	-	0	-	0	-	0	-	wzi93	KL112	none	Very high	98.64%		O1v1	none	Very high	98.51%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK35-76%	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501065.1	Klebsiella pneumoniae	strong	466	171880	578405	5759544	no	-	ST15	0	2	8	12	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	none	Very high	100.00%		O2v1	none	Very high	98.52%		aac(3)-IIa.v1;aadA^;strA.v1;strB.v1	-	-	qnrB4	-	-	-	-	sul1	tet(A).v1	-	dfrA15.v2	DHA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	OmpK35-64%	-	GyrA-83F;GyrA-87A;ParC-80I	-	qnrB1.v1*?-20%	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GCF_900501115.1	Klebsiella pneumoniae	strong	171	375543	1059782	5619562	no	-	ST661	1	1	2	2	ybt 15; ICEKp11	273	-	0	-	0	-	0	-	0	-	wzi101	KL24	none	Very high	98.89%		O2v1	none	Very high	98.38%		-	-	-	-	-	-	-	-	-	-	-	-	OXA-1	-	CTX-M-15	-	-	SHV-27	156D	-	-	-	-	dfrA14.v2*?-52%	ST661	4	3	1	36	9	10	14	6	15	5	4	1	37	44	2	1	4	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
